age,height,weight
1,79.3,9.9
1,77.4,10.7
1,72.6,10.4
1,80.9,10.4
1,79.4,10.6
1,77.4,9.6
1,78.0,9.5
1,72.3,10.4
1,75.7,9.1
1,74.6,10.8
1,77.3,10.5
1,73.5,9.6
1,78.9,10.2
1,73.5,10.1
1,78.9,10.8
1,75.1,9.8
1,78.9,9.2
1,80.6,10.6
1,73.4,10.5
1,72.7,10.6
1,73.1,9.5
1,80.4,10.6
1,74.5,10.2
1,77.5,9.3
1,79.8,10.6
2,90.9,13.2
2,91.4,12.5
2,87.9,13.3
2,87.6,12.0
2,88.4,12.0
2,89.8,13.4
2,90.2,11.3
2,89.2,11.8
2,90.6,12.9
2,84.6,12.3
2,87.8,12.7
2,85.1,13.1
2,88.3,13.0
2,90.6,11.8
2,83.8,13.4
2,89.2,13.5
2,86.5,11.1
2,86.9,12.4
2,88.8,13.2
2,85.5,11.6
2,86.8,13.0
2,85.3,11.2
2,87.5,13.1
2,90.9,12.6
2,87.6,12.9
3,101.0,15.0
3,99.1,14.8
3,98.1,14.6
3,98.7,13.9
3,96.8,14.6
3,94.0,15.2
3,101.5,14.9
3,94.7,14.4
3,92.9,13.8
3,96.4,13.8
3,97.4,14.4
3,97.3,14.9
3,100.7,15.2
3,95.7,14.2
3,100.0,14.3
3,96.6,14.9
3,100.0,14.9
3,96.3,13.9
3,92.8,14.1
3,98.1,15.2
3,97.9,14.6
3,95.0,14.1
3,93.8,15.3
3,98.0,14.1
3,98.8,13.8
4,108.0,16.5
4,104.2,17.2
4,107.0,15.6
4,108.4,17.1
4,107.7,16.4
4,104.3,16.8
4,108.7,16.9
4,107.8,17.5
4,103.1,15.9
4,103.4,18.0
4,106.6,16.0
4,104.8,17.4
4,106.9,16.3
4,104.0,16.9
4,105.0,17.2
4,103.3,16.5
4,108.0,16.7
4,105.7,17.3
4,107.1,17.9
4,104.9,16.4
4,108.5,15.8
4,106.9,17.0
4,102.5,16.1
4,106.8,17.1
4,108.1,17.2
5,115.0,19.5
5,111.9,19.6
5,111.1,20.4
5,114.8,19.7
5,115.3,20.7
5,115.4,18.9
5,112.0,18.6
5,111.8,20.0
5,112.8,20.4
5,110.2,19.7
5,110.5,19.3
5,110.0,19.1
5,110.2,19.6
5,112.4,18.9
5,111.5,19.9
5,109.9,18.8
5,113.5,19.6
5,112.9,18.7
5,110.6,19.6
5,112.2,19.8
5,111.6,18.6
5,115.1,19.9
5,111.4,18.6
5,114.3,20.7
5,111.0,19.6
6,119.2,22.1
6,120.5,21.5
6,117.9,22.4
6,116.6,22.4
6,117.1,22.7
6,120.5,21.8
6,119.3,21.7
6,116.9,22.4
6,120.0,23.0
6,120.2,22.0
6,116.7,21.9
6,120.0,22.8
6,119.5,21.6
6,119.5,22.2
6,117.2,21.8
6,119.6,21.4
6,116.4,21.7
6,117.3,23.1
6,117.8,22.7
6,116.2,22.3
6,117.3,21.8
6,120.5,22.8
6,119.5,22.2
6,117.3,21.5
6,120.5,23.1
7,126.2,24.1
7,127.1,24.9
7,122.7,25.4
7,122.3,25.2
7,124.7,24.2
7,128.0,25.3
7,123.8,25.2
7,122.0,25.2
7,127.2,25.1
7,127.7,25.5
7,124.4,25.0
7,129.1,25.7
7,127.7,24.5
7,124.6,25.3
7,127.5,25.7
7,122.5,24.8
7,127.1,25.9
7,127.7,24.5
7,124.9,24.5
7,129.2,23.6
7,126.4,23.9
7,125.4,24.1
7,128.7,25.0
7,129.4,24.9
7,127.8,25.3
8,133.9,28.0
8,133.0,27.2
8,134.5,27.0
8,132.2,26.9
8,134.9,26.9
8,131.7,27.9
8,135.0,27.4
8,131.8,26.4
8,132.3,27.7
8,135.6,27.4
8,134.8,27.7
8,132.2,27.2
8,131.9,28.3
8,135.5,27.6
8,135.0,26.3
8,135.1,27.4
8,133.9,26.2
8,133.4,26.9
8,130.9,26.4
8,133.3,26.4
8,134.9,27.0
8,131.6,28.0
8,133.1,28.4
8,131.7,26.8
8,131.9,28.3
9,139.1,29.9
9,142.3,29.6
9,136.2,29.4
9,139.7,29.3
9,137.9,29.1
9,136.3,30.1
9,137.7,29.5
9,136.8,30.5
9,143.1,29.3
9,139.9,30.6
9,142.1,29.1
9,141.0,29.0
9,136.0,29.4
9,138.5,29.6
9,142.2,31.6
9,140.8,31.5
9,140.8,31.4
9,136.2,30.5
9,138.0,31.4
9,139.9,30.5
9,142.1,30.1
